,menu_id,place,occasion,date,location,page_count,dish_count,dish_name,dish_id,menu_item_id,menu_page_id,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,price_x,high_price,tokenized_desc,no_stopwords,pos_desc,desc_len,desc_all_len,cleaned_text,clean_text,decade,avg_price_at_restaurant
9977,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,cocoa,283.0,495013,44994,1636,1704,1865,1987,0.0,25.0,160.0,,['cocoa'],['cocoa'],"[('cocoa', 'NN')]",1.0,1.0,'cocoa',cocoa,1960,405.75757575757575
12965,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,stewed tomatoes,117.0,494876,44993,1204,1253,1852,1985,0.0,25.0,180.0,,"['stewed', 'tomatoes']","['stewed', 'tomatoes']","[('stewed', 'VBN'), ('tomatoes', 'NNS')]",2.0,2.0,"'stewed', 'tomatoes'",stewed tomatoes,1960,405.75757575757575
15774,29637,,,1955-12-23,Imperial Hotel Tokyo,4,50,american cheese,1289.0,751409,57066,1369,1395,1865,2012,0.0,25.0,250.0,,"['american', 'cheese']","['american', 'cheese']","[('american', 'JJ'), ('cheese', 'NN')]",2.0,2.0,"'american', 'cheese'",american cheese,1950,203.8877551020408
16092,26667,Brauerie Zum Schiffchen,,1975-04-30,Brauerie Zum Schiffchen,8,316,ananas,64.0,533600,46012,94,104,1884,1978,0.0,0.95,2.8,,['ananas'],['ananas'],"[('ananas', 'NNS')]",1.0,1.0,'ananas',ananas,1970,62.6968251273348
16094,26926,Brauerie Zum Schiffchen,,1965-09-15,Brauerie Zum Schiffchen,7,334,ananas,64.0,515057,47398,94,104,1884,1978,0.0,0.95,1.5,,['ananas'],['ananas'],"[('ananas', 'NNS')]",1.0,1.0,'ananas',ananas,1960,62.6968251273348
16464,26580,"resturant, Le Vert Galant, France",,1951-05-01,Le Vert Galant,3,86,grape fruit,66.0,498223,45605,712,746,1895,1968,0.0,2540.0,150.0,,"['grape', 'fruit']","['grape', 'fruit']","[('grape', 'NN'), ('fruit', 'NN')]",2.0,2.0,"'grape', 'fruit'",grape fruit,1950,351.86046511627904
16665,26458,Orchid Room,,1969-12-01,Hotel Okura,3,99,oatmeal,155.0,494534,44973,533,612,1,1988,0.0,20.0,130.0,,['oatmeal'],['oatmeal'],"[('oatmeal', 'NN')]",1.0,1.0,'oatmeal',oatmeal,1960,214.0
17018,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,marmalade,281.0,495011,44994,718,751,1888,1973,0.0,25.0,60.0,,['marmalade'],['marmalade'],"[('marmalade', 'NN')]",1.0,1.0,'marmalade',marmalade,1960,405.75757575757575
18527,26458,Orchid Room,,1969-12-01,Hotel Okura,3,99,fried eggs,238.0,1324790,44973,550,565,1856,1987,0.0,20.0,200.0,,"['fried', 'eggs']","['fried', 'eggs']","[('fried', 'VBN'), ('eggs', 'NNS')]",2.0,2.0,"'fried', 'eggs'",fried eggs,1960,214.0
18528,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,fried eggs,238.0,494973,44994,550,565,1856,1987,0.0,20.0,220.0,,"['fried', 'eggs']","['fried', 'eggs']","[('fried', 'VBN'), ('eggs', 'NNS')]",2.0,2.0,"'fried', 'eggs'",fried eggs,1960,405.75757575757575
18696,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,poached eggs,1387.0,494976,44994,275,276,1853,1987,0.0,1.0,210.0,,"['poached', 'eggs']","['poached', 'eggs']","[('poached', 'VBN'), ('eggs', 'NNS')]",2.0,2.0,"'poached', 'eggs'",poached eggs,1960,405.75757575757575
19124,26432,Hotel Ritz,,1977-02-01,Hotel Ritz,5,84,bacon,1945.0,496107,44849,260,269,1853,1989,0.0,3.25,125.0,,['bacon'],['bacon'],"[('bacon', 'NN')]",1.0,1.0,'bacon',bacon,1970,127.5
19125,26432,Hotel Ritz,,1977-02-01,Hotel Ritz,5,84,bacon,1945.0,496223,44850,260,269,1853,1989,0.0,3.25,125.0,,['bacon'],['bacon'],"[('bacon', 'NN')]",1.0,1.0,'bacon',bacon,1970,127.5
19126,26432,Hotel Ritz,,1977-02-01,Hotel Ritz,5,84,bacon,1945.0,496439,44851,260,269,1853,1989,0.0,3.25,125.0,,['bacon'],['bacon'],"[('bacon', 'NN')]",1.0,1.0,'bacon',bacon,1970,127.5
21107,29038,,,1964-12-23,Hotel Sacher,1,108,edamer kase,16552.0,728141,54776,111,114,1899,1969,0.0,0.0,8.0,,"['edamer', 'kase']","['edamer', 'kase']","[('edamer', 'NN'), ('kase', 'NN')]",2.0,2.0,"'edamer', 'kase'",edamer kase,1960,60.547020725388606
21111,28265,,,1965-10-29,Hotel Sacher,1,98,pflaumen kompott,43337.0,624736,52012,24,24,1900,1976,0.0,0.0,10.0,,"['pflaumen', 'kompott']","['pflaumen', 'kompott']","[('pflaumen', 'NNS'), ('kompott', 'VBP')]",2.0,2.0,"'pflaumen', 'kompott'",pflaumen kompott,1960,60.547020725388606
21374,29637,,,1955-12-23,Imperial Hotel Tokyo,4,50,swiss cheese,2407.0,751411,57066,1007,1071,1882,1988,0.0,95.0,250.0,,"['swiss', 'cheese']","['swiss', 'cheese']","[('swiss', 'JJ'), ('cheese', 'NN')]",2.0,2.0,"'swiss', 'cheese'",swiss cheese,1950,203.8877551020408
22733,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,lettuce salad,1049.0,485837,45014,1565,1679,1881,1974,0.0,40.0,300.0,,"['lettuce', 'salad']","['lettuce', 'salad']","[('lettuce', 'NN'), ('salad', 'NN')]",2.0,2.0,"'lettuce', 'salad'",lettuce salad,1960,722.2772277227723
23488,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,fruit pie,562.0,485856,45014,36,36,1900,1981,0.0,1.2,250.0,,"['fruit', 'pie']","['fruit', 'pie']","[('fruit', 'NN'), ('pie', 'NN')]",2.0,2.0,"'fruit', 'pie'",fruit pie,1960,722.2772277227723
29648,29523,,,1955-07-07,Terrace Danieli Restaurant,7,216,sardines on toast,161.0,762215,56683,62,62,1881,1964,0.0,0.5,300.0,,"['sardines', 'on', 'toast']","['sardines', 'toast']","[('sardines', 'NNS'), ('toast', 'NN')]",2.0,3.0,"'sardines', 'toast'",sardines toast,1950,527.0734463276837
30981,26566,Grill Relais Plaza,,1997-11-17,Grill Relais Plaza ,8,216,club sandwich,169.0,511560,45514,640,658,1896,2928,0.0,40.0,120.0,,"['club', 'sandwich']","['club', 'sandwich']","[('club', 'NN'), ('sandwich', 'NN')]",2.0,2.0,"'club', 'sandwich'",club sandwich,1990,188.53439153439155
36118,29523,,,1955-07-07,Terrace Danieli Restaurant,7,216,welsh rarebit,1514.0,762212,56683,593,610,1882,1980,0.0,40.0,300.0,,"['welsh', 'rarebit']","['welsh', 'rarebit']","[('welsh', 'NN'), ('rarebit', 'NN')]",2.0,2.0,"'welsh', 'rarebit'",welsh rarebit,1950,527.0734463276837
36119,29523,,,1955-07-07,Terrace Danieli Restaurant,7,216,welsh rarebit,1514.0,762236,56683,593,610,1882,1980,0.0,40.0,300.0,,"['welsh', 'rarebit']","['welsh', 'rarebit']","[('welsh', 'NN'), ('rarebit', 'NN')]",2.0,2.0,"'welsh', 'rarebit'",welsh rarebit,1950,527.0734463276837
39792,28830,,,1987-01-01,Lido Cabaret Restaurant,4,63,meringue glacee,4619.0,685031,53991,372,391,1882,1987,0.0,40.0,450.0,,"['meringue', 'glacee']","['meringue', 'glacee']","[('meringue', 'NN'), ('glacee', 'NN')]",2.0,2.0,"'meringue', 'glacee'",meringue glacee,1980,654.2553191489362
43812,30293,,,1939-02-24,A.B. Trafikrestauranger,3,110,chateaubriand,4973.0,823301,59709,112,116,1884,1968,0.0,150.0,225.0,,['chateaubriand'],['chateaubriand'],"[('chateaubriand', 'NN')]",1.0,1.0,'chateaubriand',chateaubriand,1930,88.37
43842,34833,,,1912-08-31,Grand Hotel Hungaria,4,400,chateaubriand,4973.0,1321157,74475,112,116,1884,1968,0.0,150.0,700.0,,['chateaubriand'],['chateaubriand'],"[('chateaubriand', 'NN')]",1.0,1.0,'chateaubriand',chateaubriand,1910,197.8235294117647
43843,34833,,,1912-08-31,Grand Hotel Hungaria,4,400,chateaubriand,4973.0,1320919,74477,112,116,1884,1968,0.0,150.0,700.0,,['chateaubriand'],['chateaubriand'],"[('chateaubriand', 'NN')]",1.0,1.0,'chateaubriand',chateaubriand,1910,197.8235294117647
43844,34834,,,1912-08-31,Grand Hotel Hungaria,4,400,chateaubriand,4973.0,1320628,74479,112,116,1884,1968,0.0,150.0,700.0,,['chateaubriand'],['chateaubriand'],"[('chateaubriand', 'NN')]",1.0,1.0,'chateaubriand',chateaubriand,1910,197.8235294117647
43845,34834,,,1912-08-31,Grand Hotel Hungaria,4,400,chateaubriand,4973.0,1320822,74481,112,116,1884,1968,0.0,150.0,700.0,,['chateaubriand'],['chateaubriand'],"[('chateaubriand', 'NN')]",1.0,1.0,'chateaubriand',chateaubriand,1910,197.8235294117647
45184,26432,Hotel Ritz,,1977-02-01,Hotel Ritz,5,84,scrambled eggs,286.0,496224,44851,571,586,1853,1987,0.0,28.0,170.0,,"['scrambled', 'eggs']","['scrambled', 'eggs']","[('scrambled', 'VBN'), ('eggs', 'NNS')]",2.0,2.0,"'scrambled', 'eggs'",scrambled eggs,1970,127.5
45185,26458,Orchid Room,,1969-12-01,Hotel Okura,3,99,scrambled eggs,286.0,1324792,44973,571,586,1853,1987,0.0,28.0,200.0,,"['scrambled', 'eggs']","['scrambled', 'eggs']","[('scrambled', 'VBN'), ('eggs', 'NNS')]",2.0,2.0,"'scrambled', 'eggs'",scrambled eggs,1960,214.0
45186,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,scrambled eggs,286.0,494975,44994,571,586,1853,1987,0.0,28.0,220.0,,"['scrambled', 'eggs']","['scrambled', 'eggs']","[('scrambled', 'VBN'), ('eggs', 'NNS')]",2.0,2.0,"'scrambled', 'eggs'",scrambled eggs,1960,405.75757575757575
46444,28830,,,1987-01-01,Lido Cabaret Restaurant,4,63,caviar,17.0,684993,53991,505,534,1880,1987,0.0,75.0,3200.0,,['caviar'],['caviar'],"[('caviar', 'NN')]",1.0,1.0,'caviar',caviar,1980,654.2553191489362
46460,29628,,,1955-05-12,Eden Roc Pavilion,4,26,caviar,17.0,758518,57049,505,534,1880,1987,0.0,75.0,1600.0,,['caviar'],['caviar'],"[('caviar', 'NN')]",1.0,1.0,'caviar',caviar,1950,1333.3333333333333
46461,29629,,,1955-05-13,Eden Roc Pavilion,4,25,caviar,17.0,754677,57053,505,534,1880,1987,0.0,75.0,1600.0,,['caviar'],['caviar'],"[('caviar', 'NN')]",1.0,1.0,'caviar',caviar,1950,1333.3333333333333
48737,26458,Orchid Room,,1969-12-01,Hotel Okura,3,99,milk,98.0,494605,44973,1896,2293,1890,2012,0.0,45.0,80.0,,['milk'],['milk'],"[('milk', 'NN')]",1.0,1.0,'milk',milk,1960,214.0
50300,29494,,,1955-01-01,Casina Delle Rose & Lucciola,6,188,sherry,763.0,766589,56595,398,422,1866,1990,0.0,3.5,2500.0,,['sherry'],['sherry'],"[('sherry', 'NN')]",1.0,1.0,'sherry',sherry,1950,1427.3529411764705
51722,26536,Bristol Restaurant,,1981-01-01,Bristol Restaurant,5,132,apollinaris,776.0,479805,45331,1367,1475,1,1988,0.0,40.25,24.0,,['apollinaris'],['apollinaris'],"[('apollinaris', 'NN')]",1.0,1.0,'apollinaris',apollinaris,1980,92.13223140495867
51723,26667,Brauerie Zum Schiffchen,,1975-04-30,Brauerie Zum Schiffchen,8,316,apollinaris,776.0,533683,46013,1367,1475,1,1988,0.0,40.25,0.25,1.4,['apollinaris'],['apollinaris'],"[('apollinaris', 'NN')]",1.0,1.0,'apollinaris',apollinaris,1970,62.6968251273348
51757,29190,,,1951-01-01,Compagnie Generale Transatlantique,17,338,apollinaris,776.0,699871,55430,1367,1475,1,1988,0.0,40.25,90.0,,['apollinaris'],['apollinaris'],"[('apollinaris', 'NN')]",1.0,1.0,'apollinaris',apollinaris,1950,379.559030418251
51771,31513,,,1928-12-16,Compagnie Generale Transatlantique,14,189,apollinaris,776.0,949663,63908,1367,1475,1,1988,0.0,40.25,3.0,4.0,['apollinaris'],['apollinaris'],"[('apollinaris', 'NN')]",1.0,1.0,'apollinaris',apollinaris,1920,379.559030418251
52959,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,celery salad,790.0,485812,45014,413,426,1882,1973,0.0,60.0,300.0,,"['celery', 'salad']","['celery', 'salad']","[('celery', 'NN'), ('salad', 'NN')]",2.0,2.0,"'celery', 'salad'",celery salad,1960,722.2772277227723
59339,29637,,,1955-12-23,Imperial Hotel Tokyo,4,50,edam cheese,5605.0,751410,57066,1025,1059,1883,1974,0.0,35.0,250.0,,"['edam', 'cheese']","['edam', 'cheese']","[('edam', 'NN'), ('cheese', 'NN')]",2.0,2.0,"'edam', 'cheese'",edam cheese,1950,203.8877551020408
64020,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,cucumber salad,8468.0,485835,45014,793,814,1882,1987,0.0,75.0,300.0,,"['cucumber', 'salad']","['cucumber', 'salad']","[('cucumber', 'NN'), ('salad', 'NN')]",2.0,2.0,"'cucumber', 'salad'",cucumber salad,1960,722.2772277227723
64047,29637,,,1955-12-23,Imperial Hotel Tokyo,4,50,cucumber salad,8468.0,751401,57066,793,814,1882,1987,0.0,75.0,150.0,,"['cucumber', 'salad']","['cucumber', 'salad']","[('cucumber', 'NN'), ('salad', 'NN')]",2.0,2.0,"'cucumber', 'salad'",cucumber salad,1950,203.8877551020408
64719,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,chocolate ice cream,4764.0,494882,44993,1220,1346,1873,1989,0.0,25.0,160.0,,"['chocolate', 'ice', 'cream']","['chocolate', 'ice', 'cream']","[('chocolate', 'NN'), ('ice', 'NN'), ('cream', 'NN')]",3.0,3.0,"'chocolate', 'ice', 'cream'",chocolate ice cream,1960,405.75757575757575
64827,29637,,,1955-12-23,Imperial Hotel Tokyo,4,50,chocolate ice cream,4764.0,751413,57066,1220,1346,1873,1989,0.0,25.0,80.0,,"['chocolate', 'ice', 'cream']","['chocolate', 'ice', 'cream']","[('chocolate', 'NN'), ('ice', 'NN'), ('cream', 'NN')]",3.0,3.0,"'chocolate', 'ice', 'cream'",chocolate ice cream,1950,203.8877551020408
66415,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,spinach,1601.0,485880,45014,972,1021,1854,1987,0.0,40.0,200.0,,['spinach'],['spinach'],"[('spinach', 'NN')]",1.0,1.0,'spinach',spinach,1960,722.2772277227723
66479,29523,,,1955-07-07,Terrace Danieli Restaurant,7,216,spinach,1601.0,762197,56683,972,1021,1854,1987,0.0,40.0,250.0,,['spinach'],['spinach'],"[('spinach', 'NN')]",1.0,1.0,'spinach',spinach,1950,527.0734463276837
71069,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,vanilla ice cream,4118.0,494881,44993,1710,1850,1859,2012,0.0,30.0,160.0,,"['vanilla', 'ice', 'cream']","['vanilla', 'ice', 'cream']","[('vanilla', 'NN'), ('ice', 'NN'), ('cream', 'NN')]",3.0,3.0,"'vanilla', 'ice', 'cream'",vanilla ice cream,1960,405.75757575757575
71070,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,vanilla ice cream,4118.0,485847,45014,1710,1850,1859,2012,0.0,30.0,200.0,,"['vanilla', 'ice', 'cream']","['vanilla', 'ice', 'cream']","[('vanilla', 'NN'), ('ice', 'NN'), ('cream', 'NN')]",3.0,3.0,"'vanilla', 'ice', 'cream'",vanilla ice cream,1960,722.2772277227723
71170,29637,,,1955-12-23,Imperial Hotel Tokyo,4,50,vanilla ice cream,4118.0,751412,57066,1710,1850,1859,2012,0.0,30.0,80.0,,"['vanilla', 'ice', 'cream']","['vanilla', 'ice', 'cream']","[('vanilla', 'NN'), ('ice', 'NN'), ('cream', 'NN')]",3.0,3.0,"'vanilla', 'ice', 'cream'",vanilla ice cream,1950,203.8877551020408
72633,29637,,,1955-12-23,Imperial Hotel Tokyo,4,50,string beans,873.0,751399,57066,1491,1573,1858,2928,0.0,60.0,100.0,,"['string', 'beans']","['string', 'beans']","[('string', 'NN'), ('beans', 'NNS')]",2.0,2.0,"'string', 'beans'",string beans,1950,203.8877551020408
74796,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,rolled oats,100.0,494972,44994,104,112,1900,1989,0.0,0.35,130.0,,"['rolled', 'oats']","['rolled', 'oats']","[('rolled', 'VBN'), ('oats', 'NNS')]",2.0,2.0,"'rolled', 'oats'",rolled oats,1960,405.75757575757575
74991,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,broiled ham,239.0,494990,44994,622,635,1,1970,0.0,25.0,220.0,,"['broiled', 'ham']","['broiled', 'ham']","[('broiled', 'VBN'), ('ham', 'NN')]",2.0,2.0,"'broiled', 'ham'",broiled ham,1960,405.75757575757575
75766,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,fried potatoes,894.0,485885,45014,566,580,1856,1987,0.0,15.0,200.0,,"['fried', 'potatoes']","['fried', 'potatoes']","[('fried', 'VBN'), ('potatoes', 'NNS')]",2.0,2.0,"'fried', 'potatoes'",fried potatoes,1960,722.2772277227723
76014,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,consomme,1186.0,485137,44992,830,982,1865,1976,0.0,35.0,350.0,,['consomme'],['consomme'],"[('consomme', 'NN')]",1.0,1.0,'consomme',consomme,1960,405.75757575757575
76035,29526,,,1955-06-17,Ristorante Centrale,1,86,consomme,1186.0,762117,56692,830,982,1865,1976,0.0,35.0,50.0,,['consomme'],['consomme'],"[('consomme', 'NN')]",1.0,1.0,'consomme',consomme,1950,240.0
77179,29492,,,1955-06-02,Café De La Paix,6,117,olives,1177.0,765406,56585,4322,4555,1858,1980,0.0,35.0,50.0,,['olives'],['olives'],"[('olives', 'NNS')]",1.0,1.0,'olives',olives,1950,184.01869158878506
79307,26461,Fujiya Hotel,,1968-01-01,Fujiya Hotel,7,170,boiled eggs,142.0,494977,44994,538,554,1853,1987,0.0,20.0,160.0,,"['boiled', 'eggs']","['boiled', 'eggs']","[('boiled', 'VBN'), ('eggs', 'NNS')]",2.0,2.0,"'boiled', 'eggs'",boiled eggs,1960,405.75757575757575
80511,26973,Au Grand Comptoir,,1962-05-11,Au Grand Comptoir,1,62,salade,5845.0,504774,47605,258,260,1881,1978,0.0,0.0,250.0,,['salade'],['salade'],"[('salade', 'NN')]",1.0,1.0,'salade',salade,1960,344.5846774193548
80512,29537,,,1955-09-07,Victor's Bar,1,73,salade,5845.0,768500,56719,258,260,1881,1978,0.0,0.0,80.0,,['salade'],['salade'],"[('salade', 'NN')]",1.0,1.0,'salade',salade,1950,124.50281690140844
81406,29637,,,1955-12-23,Imperial Hotel Tokyo,4,50,apple pie,2474.0,751422,57066,1486,1617,1851,1987,0.0,25.0,100.0,,"['apple', 'pie']","['apple', 'pie']","[('apple', 'NN'), ('pie', 'NN')]",2.0,2.0,"'apple', 'pie'",apple pie,1950,203.8877551020408
82115,29039,,,1964-12-27,Hotel Sacher,1,101,brie,1310.0,729385,54777,610,669,1882,1999,0.0,30.0,8.0,,['brie'],['brie'],"[('brie', 'NN')]",1.0,1.0,'brie',brie,1960,60.547020725388606
82120,29227,,,1999-01-01,Gundel,28,342,brie,1310.0,726862,55594,610,669,1882,1999,0.0,30.0,1890.0,,['brie'],['brie'],"[('brie', 'NN')]",1.0,1.0,'brie',brie,1990,3074.153395348837
82121,29537,,,1955-09-07,Victor's Bar,1,73,brie,1310.0,768503,56719,610,669,1882,1999,0.0,30.0,70.0,,['brie'],['brie'],"[('brie', 'NN')]",1.0,1.0,'brie',brie,1950,124.50281690140844
82340,34833,,,1912-08-31,Grand Hotel Hungaria,4,400,brie,1310.0,1321069,74475,610,669,1882,1999,0.0,30.0,80.0,,['brie'],['brie'],"[('brie', 'NN')]",1.0,1.0,'brie',brie,1910,197.8235294117647
82341,34833,,,1912-08-31,Grand Hotel Hungaria,4,400,brie,1310.0,1320893,74477,610,669,1882,1999,0.0,30.0,80.0,,['brie'],['brie'],"[('brie', 'NN')]",1.0,1.0,'brie',brie,1910,197.8235294117647
82342,34834,,,1912-08-31,Grand Hotel Hungaria,4,400,brie,1310.0,1320604,74479,610,669,1882,1999,0.0,30.0,80.0,,['brie'],['brie'],"[('brie', 'NN')]",1.0,1.0,'brie',brie,1910,197.8235294117647
82343,34834,,,1912-08-31,Grand Hotel Hungaria,4,400,brie,1310.0,1320802,74481,610,669,1882,1999,0.0,30.0,80.0,,['brie'],['brie'],"[('brie', 'NN')]",1.0,1.0,'brie',brie,1910,197.8235294117647
84552,28265,,,1965-10-29,Hotel Sacher,1,98,pate de foie gras,1965.0,624406,52012,190,228,1887,1971,0.0,150.0,80.0,,"['pate', 'de', 'foie', 'gras']","['pate', 'de', 'foie', 'gras']","[('pate', 'NN'), ('de', 'IN'), ('foie', 'FW'), ('gras', 'NNS')]",4.0,4.0,"'pate', 'de', 'foie', 'gras'",pate de foie gras,1960,60.547020725388606
85659,26463,Mon cher ton ton,,1969-12-26,Mon Cher Ton Ton,4,108,tomato salad,5073.0,485833,45014,846,939,1887,1974,0.0,40.0,300.0,,"['tomato', 'salad']","['tomato', 'salad']","[('tomato', 'NN'), ('salad', 'NN')]",2.0,2.0,"'tomato', 'salad'",tomato salad,1960,722.2772277227723
85689,29637,,,1955-12-23,Imperial Hotel Tokyo,4,50,tomato salad,5073.0,751402,57066,846,939,1887,1974,0.0,40.0,150.0,,"['tomato', 'salad']","['tomato', 'salad']","[('tomato', 'NN'), ('salad', 'NN')]",2.0,2.0,"'tomato', 'salad'",tomato salad,1950,203.8877551020408
86693,29537,,,1955-09-07,Victor's Bar,1,73,roquefort,1308.0,768255,56719,1269,1442,1882,1985,0.0,30.0,80.0,,['roquefort'],['roquefort'],"[('roquefort', 'NN')]",1.0,1.0,'roquefort',roquefort,1950,124.50281690140844
87084,34833,,,1912-08-31,Grand Hotel Hungaria,4,400,roquefort,1308.0,1321056,74475,1269,1442,1882,1985,0.0,30.0,80.0,,['roquefort'],['roquefort'],"[('roquefort', 'NN')]",1.0,1.0,'roquefort',roquefort,1910,197.8235294117647
87085,34833,,,1912-08-31,Grand Hotel Hungaria,4,400,roquefort,1308.0,1320891,74477,1269,1442,1882,1985,0.0,30.0,80.0,,['roquefort'],['roquefort'],"[('roquefort', 'NN')]",1.0,1.0,'roquefort',roquefort,1910,197.8235294117647
87086,34834,,,1912-08-31,Grand Hotel Hungaria,4,400,roquefort,1308.0,1320601,74479,1269,1442,1882,1985,0.0,30.0,80.0,,['roquefort'],['roquefort'],"[('roquefort', 'NN')]",1.0,1.0,'roquefort',roquefort,1910,197.8235294117647
87087,34834,,,1912-08-31,Grand Hotel Hungaria,4,400,roquefort,1308.0,1320800,74481,1269,1442,1882,1985,0.0,30.0,80.0,,['roquefort'],['roquefort'],"[('roquefort', 'NN')]",1.0,1.0,'roquefort',roquefort,1910,197.8235294117647
87775,29039,,,1964-12-27,Hotel Sacher,1,101,camembert,1313.0,729386,54777,1158,1325,1881,2012,0.0,30.0,8.0,,['camembert'],['camembert'],"[('camembert', 'NN')]",1.0,1.0,'camembert',camembert,1960,60.547020725388606
87793,29537,,,1955-09-07,Victor's Bar,1,73,camembert,1313.0,768502,56719,1158,1325,1881,2012,0.0,30.0,70.0,,['camembert'],['camembert'],"[('camembert', 'NN')]",1.0,1.0,'camembert',camembert,1950,124.50281690140844
88176,34833,,,1912-08-31,Grand Hotel Hungaria,4,400,camembert,1313.0,1321057,74475,1158,1325,1881,2012,0.0,30.0,80.0,,['camembert'],['camembert'],"[('camembert', 'NN')]",1.0,1.0,'camembert',camembert,1910,197.8235294117647
88177,34833,,,1912-08-31,Grand Hotel Hungaria,4,400,camembert,1313.0,1320892,74477,1158,1325,1881,2012,0.0,30.0,80.0,,['camembert'],['camembert'],"[('camembert', 'NN')]",1.0,1.0,'camembert',camembert,1910,197.8235294117647
